PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29628290","The Immune Landscape of Cancer","Thorsson V, Gibbs DL, Brown SD, Wolf D, Bortone DS, Ou Yang TH, Porta-Pardo E, Gao GF, Plaisier CL, Eddy JA, Ziv E, Culhane AC, Paull EO, Sivakumar IKA, Gentles AJ, Malhotra R, Farshidfar F, Colaprico A, Parker JS, Mose LE, Vo NS, Liu J, Liu Y, Rader J, Dhankani V, Reynolds SM, Bowlby R, Califano A, Cherniack AD, Anastassiou D, Bedognetti D, Mokrab Y, Newman AM, Rao A, Chen K, Krasnitz A, Hu H, Malta TM, Noushmehr H, Pedamallu CS, Bullman S, Ojesina AI, Lamb A, Zhou W, Shen H, Choueiri TK, Weinstein JN, Guinney J, Saltz J, Holt RA, Rabkin CS; Cancer Genome Atlas Research Network, Lazar AJ, Serody JS, Demicco EG, Disis ML, Vincent BG, Shmulevich I.","Immunity. 2018 Apr 17;48(4):812-830.e14. doi: 10.1016/j.immuni.2018.03.023. Epub 2018 Apr 5.","Thorsson V","Immunity","2018","2018/04/10","PMC5982584","NIHMS958212","10.1016/j.immuni.2018.03.023"
"34358469","A proteogenomic portrait of lung squamous cell carcinoma","Satpathy S, Krug K, Jean Beltran PM, Savage SR, Petralia F, Kumar-Sinha C, Dou Y, Reva B, Kane MH, Avanessian SC, Vasaikar SV, Krek A, Lei JT, Jaehnig EJ, Omelchenko T, Geffen Y, Bergstrom EJ, Stathias V, Christianson KE, Heiman DI, Cieslik MP, Cao S, Song X, Ji J, Liu W, Li K, Wen B, Li Y, Gümüş ZH, Selvan ME, Soundararajan R, Visal TH, Raso MG, Parra ER, Babur Ö, Vats P, Anand S, Schraink T, Cornwell M, Rodrigues FM, Zhu H, Mo CK, Zhang Y, da Veiga Leprevost F, Huang C, Chinnaiyan AM, Wyczalkowski MA, Omenn GS, Newton CJ, Schurer S, Ruggles KV, Fenyö D, Jewell SD, Thiagarajan M, Mesri M, Rodriguez H, Mani SA, Udeshi ND, Getz G, Suh J, Li QK, Hostetter G, Paik PK, Dhanasekaran SM, Govindan R, Ding L, Robles AI, Clauser KR, Nesvizhskii AI, Wang P, Carr SA, Zhang B, Mani DR, Gillette MA; Clinical Proteomic Tumor Analysis Consortium.","Cell. 2021 Aug 5;184(16):4348-4371.e40. doi: 10.1016/j.cell.2021.07.016.","Satpathy S","Cell","2021","2021/08/06","PMC8475722","NIHMS1730863","10.1016/j.cell.2021.07.016"
"32192349","Biomarkers of neoadjuvant/adjuvant chemotherapy for breast cancer","Iwamoto T, Kajiwara Y, Zhu Y, Iha S.","Chin Clin Oncol. 2020 Jun;9(3):27. doi: 10.21037/cco.2020.01.06. Epub 2020 Mar 13.","Iwamoto T","Chin Clin Oncol","2020","2020/03/21","","","10.21037/cco.2020.01.06"
"34471502","The molecular feature of macrophages in tumor immune microenvironment of glioma patients","Zhang H, Luo YB, Wu W, Zhang L, Wang Z, Dai Z, Feng S, Cao H, Cheng Q, Liu Z.","Comput Struct Biotechnol J. 2021 Aug 14;19:4603-4618. doi: 10.1016/j.csbj.2021.08.019. eCollection 2021.","Zhang H","Comput Struct Biotechnol J","2021","2021/09/02","PMC8383063","","10.1016/j.csbj.2021.08.019"
"32572199","Integrating spatial gene expression and breast tumour morphology via deep learning","He B, Bergenstråhle L, Stenbeck L, Abid A, Andersson A, Borg Å, Maaskola J, Lundeberg J, Zou J.","Nat Biomed Eng. 2020 Aug;4(8):827-834. doi: 10.1038/s41551-020-0578-x. Epub 2020 Jun 22.","He B","Nat Biomed Eng","2020","2020/06/24","","","10.1038/s41551-020-0578-x"
"31699932","Double PIK3CA mutations in cis increase oncogenicity and sensitivity to PI3Kα inhibitors","Vasan N, Razavi P, Johnson JL, Shao H, Shah H, Antoine A, Ladewig E, Gorelick A, Lin TY, Toska E, Xu G, Kazmi A, Chang MT, Taylor BS, Dickler MN, Jhaveri K, Chandarlapaty S, Rabadan R, Reznik E, Smith ML, Sebra R, Schimmoller F, Wilson TR, Friedman LS, Cantley LC, Scaltriti M, Baselga J.","Science. 2019 Nov 8;366(6466):714-723. doi: 10.1126/science.aaw9032.","Vasan N","Science","2019","2019/11/09","PMC7173400","NIHMS1572386","10.1126/science.aaw9032"
"33762732","Breast tumours maintain a reservoir of subclonal diversity during expansion","Minussi DC, Nicholson MD, Ye H, Davis A, Wang K, Baker T, Tarabichi M, Sei E, Du H, Rabbani M, Peng C, Hu M, Bai S, Lin YW, Schalck A, Multani A, Ma J, McDonald TO, Casasent A, Barrera A, Chen H, Lim B, Arun B, Meric-Bernstam F, Van Loo P, Michor F, Navin NE.","Nature. 2021 Apr;592(7853):302-308. doi: 10.1038/s41586-021-03357-x. Epub 2021 Mar 24.","Minussi DC","Nature","2021","2021/03/25","PMC8049101","NIHMS1673613","10.1038/s41586-021-03357-x"
"31270504","Programmable bacteria induce durable tumor regression and systemic antitumor immunity","Chowdhury S, Castro S, Coker C, Hinchliffe TE, Arpaia N, Danino T.","Nat Med. 2019 Jul;25(7):1057-1063. doi: 10.1038/s41591-019-0498-z. Epub 2019 Jul 3.","Chowdhury S","Nat Med","2019","2019/07/05","PMC6688650","NIHMS1530252","10.1038/s41591-019-0498-z"
"34552244","Biologically informed deep neural network for prostate cancer discovery","Elmarakeby HA, Hwang J, Arafeh R, Crowdis J, Gang S, Liu D, AlDubayan SH, Salari K, Kregel S, Richter C, Arnoff TE, Park J, Hahn WC, Van Allen EM.","Nature. 2021 Oct;598(7880):348-352. doi: 10.1038/s41586-021-03922-4. Epub 2021 Sep 22.","Elmarakeby HA","Nature","2021","2021/09/23","PMC8514339","","10.1038/s41586-021-03922-4"
"33495315","Inhibition of Hedgehog Signaling Alters Fibroblast Composition in Pancreatic Cancer","Steele NG, Biffi G, Kemp SB, Zhang Y, Drouillard D, Syu L, Hao Y, Oni TE, Brosnan E, Elyada E, Doshi A, Hansma C, Espinoza C, Abbas A, The S, Irizarry-Negron V, Halbrook CJ, Franks NE, Hoffman MT, Brown K, Carpenter ES, Nwosu ZC, Johnson C, Lima F, Anderson MA, Park Y, Crawford HC, Lyssiotis CA, Frankel TL, Rao A, Bednar F, Dlugosz AA, Preall JB, Tuveson DA, Allen BL, Pasca di Magliano M.","Clin Cancer Res. 2021 Apr 1;27(7):2023-2037. doi: 10.1158/1078-0432.CCR-20-3715. Epub 2021 Jan 25.","Steele NG","Clin Cancer Res","2021","2021/01/26","PMC8026631","NIHMS1667180","10.1158/1078-0432.CCR-20-3715"
"32238925","CRISPR screens in cancer spheroids identify 3D growth-specific vulnerabilities","Han K, Pierce SE, Li A, Spees K, Anderson GR, Seoane JA, Lo YH, Dubreuil M, Olivas M, Kamber RA, Wainberg M, Kostyrko K, Kelly MR, Yousefi M, Simpkins SW, Yao D, Lee K, Kuo CJ, Jackson PK, Sweet-Cordero A, Kundaje A, Gentles AJ, Curtis C, Winslow MM, Bassik MC.","Nature. 2020 Apr;580(7801):136-141. doi: 10.1038/s41586-020-2099-x. Epub 2020 Mar 11.","Han K","Nature","2020","2020/04/03","PMC7368463","NIHMS1549225","10.1038/s41586-020-2099-x"
"34112782","Impairment of a distinct cancer-associated fibroblast population limits tumour growth and metastasis","Jungwirth U, van Weverwijk A, Evans RJ, Jenkins L, Vicente D, Alexander J, Gao Q, Haider S, Iravani M, Isacke CM.","Nat Commun. 2021 Jun 10;12(1):3516. doi: 10.1038/s41467-021-23583-1.","Jungwirth U","Nat Commun","2021","2021/06/11","PMC8192501","","10.1038/s41467-021-23583-1"
